# BAM files: ~/data/SOC/SOC-2745-226696.bam, ~/data/SOC/SOC-2774-227362.bam, ~/data/SOC/SOC-5936-294158.bam, ~/data/SOC/SOC-6075-291944.bam, ~/data/SOC/SOC-6752-315581.bam, ~/data/SOC/SOC-7165-343100.bam, ~/data/SOC/SOC-7637-361542.bam, ~/data/SOC/SOC-7777-371281.bam, ~/data/SOC/SOC-8272-401299.bam, ~/data/SOC/SOC-11199-480891.bam, ~/data/SOC/SOC-849-206653.bam, ~/data/SOC/SOC-1255-501160.bam, ~/data/SOC/SOC-2427-221981.bam, ~/data/SOC/SOC-2674-224814.bam, ~/data/SOC/SOC-2742-225553.bam, ~/data/SOC/SOC-4808-260525.bam, ~/data/SOC/SOC-5439-266610.bam, ~/data/SOC/SOC-5606-277617.bam, ~/data/SOC/SOC-5653-277626.bam, ~/data/SOC/SOC-5691-278006.bam
# phenotypes: chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemoresistant, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive, chemosensitive
# total alignments: 14612031, 106336729, 18330606, 112217237, 14635266, 15379488, 12814697, 13461028, 17491779, 16221093, 14494734, 13801318, 14949521, 18045259, 17407390, 15334240, 14903259, 13804476, 18588809, 18601214
# annotations: /home/cwarth/R/x86_64-unknown-linux-gnu-library/3.0/qarp/python/hg19-refSeq-union.gtf
# gene count: 16897
# interactive: FALSE
# commandline: --genefile /home/cwarth/data/SOC/genelist.txt
# date: 2013-11-15 09:48:38
gene	raw	rpm	area
DCTN3	0.115	0.431	0.101
ERCC2	0.005	0.065	0.407
PGS1	0.307	0.374	0.106
PPM1B	0.425	0.035	0.283
RSBN1L	0.287	0.383	0.16
SLC20A2	0.102	0.382	0.011
TRAPPC3	0.558	0.027	0.528
UBAC1	0.273	0.461	0.059
ATG4D:MIR1238	0.011	0.215	0.388
CIRH1A	0.6	0.242	0.511
ERLIN1	0.36	0.309	0.208
IDH3A	0.774	0.042	0.543
IGSF10	0.137	0.257	0.47
LAYN	0.12	0.202	0.4
LIMA1:MIR1293	0.267	0.356	0.189
MRPL15	0.732	0.005	0.216
MRPL37	0.582	0.012	0.085
NRSN2	0.454	0.038	0.034
PARP3	0.634	0.561	0.196
PLEKHG4	0.153	0.387	0.203
RALB	0.493	0.317	0.792
RB1CC1	0.521	0.16	0.266
UBE2Q2	0.491	0.038	0.151
ZNF512	0.035	0.19	0.107
ALG3	0.328	0.609	0.156
AQR	0.652	0.049	0.082
BRMS1	0.267	0.202	0.134
C11orf10:MIR611	0.333	0.429	0.368
CTDP1	0.156	0.66	0.157
DYNLL2	0.423	0.13	0.071
FAM100B	0.282	0.654	0.128
FOXJ1	0.132	0.594	0.069
HLA-DMA	0.074	0.027	0.08
KLHL24	0.39	0.197	0.037
MKL2	0.178	0.581	0.074
NUP43	0.39	0.016	0.088
PLEKHH3	0.073	0.364	0.147
RBBP5	0.228	0.35	0.234
RRAS2	0.427	0.438	0.092
TSTD2	0.58	0.742	0.433
VEZF1	0.121	0.492	0.102
XAB2	0.028	0.265	0.232
C10orf118:MIR2110	0.504	0.156	0.165
C22orf30	0.739	0.015	0.123
CREBL2	0.191	0.654	0.086
CSRNP1	0.136	0.411	0.028
FOXN3	0.118	0.643	0.24
LSMD1	0.042	0.212	0.123
LZTR1	0.441	0.295	0.027
NAA15	0.423	0.007	0.422
PAIP2B	0.041	0.059	0.166
PSKH1	0.117	0.627	0.071
RGS3	0.694	0.64	0.207
SEPT11	0.259	0.819	0.262
SLC25A11	0.355	0.147	0.043
SNRPA	0.368	0.163	0.379
SPR	0.446	0.252	0.129
SRCRB4D	0.182	0.445	0.484
STK38	0.553	0.002	0.117
SULF2	0.001	0.02	0.412
SUPT7L	0.191	0.6	0.211
TECTA	0.189	0.288	0.13
TEX2	0.318	0.474	0.123
THOP1	0.219	0.291	0.03
UROS	0.426	0.069	0.039
USP1	0.811	0.037	0.388
ZACN	0.421	0.293	0.254
ZNF544	0.766	0.001	0.55
ZNF589	0.454	0.524	0.249
ARHGAP39	0.535	0.072	0.012
CCPG1:MIR628	0.136	0.772	0.314
CDC42BPG	0.099	0.632	0.121
DSCR3	0.204	0.521	0.146
FES	0.182	0.974	0.74
FUT8	0.772	0.01	0.019
KIF21A	0.837	0.02	0.289
L1CAM	0.017	0.018	0.109
MFF	0.331	0.375	0.175
MICALL1	0.56	0.077	0.024
MIR3136:TMF1	0.576	0.02	0.088
NDUFAB1	0.568	0.014	0.107
PFAS	0.1	0.075	0.117
RRP1	0.536	0.031	0.118
SLC35F5	0.684	0.187	0.289
STEAP3	0.108	0.481	0.554
VCAM1	0.688	0.725	0.324
ZAK	0.378	0.25	0.137
ARHGEF18	0.047	0.425	0.128
C19orf10	0.435	0.443	0.393
CCDC93	0.248	0.427	0.172
CG030:N4BP2L2	0.224	0.936	0.512
CHD1L	0.449	0.183	0.786
FRMD8	0.395	0.284	0.084
ING5	0.07	0.088	0.269
KIAA1147	0.467	0.14	0.037
NCAPG2	0.667	0.019	0.001
NMD3	0.44	0.074	0.354
RIPK4	0.236	0.997	0.321
SPRYD3	0.105	0.341	0.004
TRIP13	0.402	0.261	0.266
ZNF275	0.204	0.612	0.547
ZNF335	0.155	0.835	0.174
ARL2BP	0.17	0.593	0.073
CLDN6*	0.031	0.022	0.592
CLTB	0.058	0.568	0.155
CPD	0.706	0.177	0.129
CTNNBL1	0.206	0.309	0.153
FAM117A	0.039	0.28	0.189
GCOM1:GRINL1A	0.37	0.575	0.046
HERC4	0.647	0.024	0.092
PLS3	0.472	0.897	0.406
RANBP3	0.254	0.161	0.006
RNF149	0.076	0.061	0.02
SENP2	0.285	0.664	0.377
THUMPD3	0.442	0.13	0.247
ACAD8	0.531	0.148	0.71
APBB2	0.018	0.056	0.195
GATS	0.301	0.343	0.136
GTF3A	0.53	0.214	0.498
HNRNPH2	0.489	0.028	0.608
LPHN2	0.288	0.829	0.317
LRRC45	0.452	0.278	0.026
NXPH4*	0.237	0.687	0.486
PMPCA	0.584	0.245	0.097
SMC6	0.315	0.78	0.395
SMCR8	0.393	0.06	0.054
TMX1	0.468	0.007	0.064
UBE2L3	0.389	0.001	0.017
UXT	0.06	0.478	0.163
VPS45	0.454	0.105	0.23
ZDHHC8	0.183	0.493	0.03
ANKRD9	0.327	0.655	0.365
C9orf123	0.168	0.583	0.071
CARD9	0.689	0.622	0.682
ELF1	0.338	0.27	0.056
GNL1	0.389	0.219	0.031
HAT1	0.641	0.024	0.272
HEATR5A	0.206	0.044	0.017
MINA	0.451	0.013	0.179
MYLK	0.701	0.282	0.244
NDUFA3	0.202	0.76	0.211
NSMAF	0.462	0.032	0.269
PER2	0.147	0.222	0.202
PLEKHA5	0.167	0.804	0.295
PREB	0.284	0.429	0.089
STAMBP	0.318	0.361	0.068
TMEM9B	0.058	0.529	0.302
TROAP	0.664	0.859	0.125
VPS26A	0.487	0.017	0.183
ATP5G1	0.328	0.397	0.147
ATP6V1E1	0.664	0.052	0.261
COX7A2	0.678	0.005	0.472
FAM193B	0.024	0.301	0.133
LARS2	0.188	0.098	0.003
LIPA	0.379	0.254	0.187
MTIF2	0.486	0.113	0.223
NAA20	0.626	0.01	0.633
PEPD	0.068	0.551	0.094
SMARCB1	0.329	0.473	0.163
SYAP1	0.46	0.153	0.07
TTI1	0.243	0.516	0.196
UBR3	0.374	0.027	0.001
AP2S1	0.619	0.027	0.179
C11orf84	0.064	0.288	0.14
C13orf23	0.25	0.396	0.097
C19orf21	0.193	0.756	0.246
C20orf72	0.401	0.262	0.16
CRTC1	0.067	0.285	0.178
CTPS	0.392	0.004	0.248
DISC1:TSNAX:TSNAX-DISC1	0.404	0.136	0.342
FBXO7	0.716	0.05	0.163
IFNGR1	0.75	0.332	0.1
LMAN2L	0.088	0.648	0.87
PDXDC2P	0.232	0.726	0.038
PSPC1	0.41	0.209	0.236
TMEM214	0.305	0.592	0.406
TMEM97	0.34	0.58	0.56
TTC19	0.408	0.233	0.346
ZBTB5	0.299	0.652	0.742
ZCCHC17	0.516	0.219	0.023
ZNF219	0.134	0.392	0.243
ACAA2	0.676	0.233	0.525
ARL8B	0.171	0.765	0.292
CBX6	0.1	0.374	0.441
CCDC9	0.127	0.434	0.099
DPP9	0.081	0.424	0.304
NCOA2	0.529	0.112	0.168
ORC6	0.156	0.147	0.002
REV1	0.221	0.402	0.072
SHOC2	0.185	0.179	0.05
WNT10A	0.005	0.031	0.128
ZHX2	0.521	0.309	0.082
ZNF467	0.675	0.187	0.31
ABHD16B	0.351	0.972	0.531
AKR1A1	0.567	0.114	0.432
ATXN7L3	0.312	0.222	0.004
C1orf27:OCLM	0.461	0.272	0.137
CMPK1	0.665	0.094	0.463
DCTD	0.454	0.088	0.073
DIS3	0.095	0.261	0.052
EVL	0.366	0.169	0.069
IFT81	0.316	0.935	0.617
KATNB1	0.095	0.664	0.184
KLHL23:PHOSPHO2	0.181	0.525	0.043
LOC100129361	0.465	0.463	0.083
MAP1LC3B	0.289	0.417	0.143
MPI	0.216	0.555	0.03
OGFOD1	0.27	0.137	0.103
ORAI2	0.19	0.184	0.24
PAK4	0.367	0.643	0.482
PAQR4	0.161	0.542	0.202
PHTF2	0.351	0.345	0.341
SEC23A	0.277	0.809	0.432
SNRPA1	0.578	0.004	0.357
SPNS2	0.257	0.701	0.502
TGFBR2	0.081	0.637	0.066
TIMM8B	0.619	0.092	0.063
TUSC2	0.298	0.434	0.055
USP3	0.244	0.447	0.004
ACP1	0.452	0.122	0.194
ACTA2	0.503	0.649	0.043
ADCK4	0.254	0.562	0.087
ALG11:UTP14C	0.313	0.377	0.331
BRWD1	0.432	0.683	0.69
DNAJC25:DNAJC25-GNG10:GNG10	0.764	0.054	0.602
DOCK3	0.004	0.013	0.019
HARS2	0.319	0.254	0.117
IDE	0.411	0.002	0.729
MTX1	0.086	0.483	0.344
PLBD2	0.079	0.191	0.074
PYCRL	0.337	0.129	0.108
TDRD7	0.404	0.157	0.384
ACSS3	0.213	0.587	0.846
ADAM17	0.489	0.111	0.156
ALG1	0.146	0.356	0.059
BRI3	0.401	0.093	0.3
FAM195A	0.05	0.545	0.357
IFT46	0.062	0.249	0.017
KIAA1274	0.001	0.006	0.02
LYPD6B	0.213	0.787	0.441
ME2	0.313	0.005	0.088
PLA2G16	0.188	0.53	0.17
RAB11FIP2	0.137	0.905	0.683
RPIA	0.207	0.536	0.2
SAP18	0.353	0.303	0.515
SEC61B	0.68	0.058	0.227
SHMT1	0.421	0.206	0.005
SNRPD1	0.551	0.147	0.045
TSG101	0.232	0.297	0.069
C16orf13	0.019	0.085	0.468
C8orf33	0.746	0.011	0.265
C9orf78	0.352	0.125	0.08
DNAJC7	0.468	0.024	0.005
DOCK6	0.007	0.091	0.199
EGFR	0.045	0.176	0.737
ELMO2	0.358	0.364	0.112
POLR1D	0.443	0.06	0.028
SLC6A13*	0.519	0.964	0.674
TBL1X	0.6	0.099	0.389
TMEM140	0.408	0.071	0.176
TSPYL4	0.091	0.265	0.213
WDR35	0.009	0.106	0.38
ACAD9	0.452	0.025	0.031
AIFM1	0.455	0.001	0.183
AIP	0.075	0.207	0.006
BAK1	0.533	0.018	0.08
C12orf49	0.171	0.481	0.14
CUEDC2	0.145	0.34	0.008
DERA	0.618	0.038	0.267
DNAJC16	0.125	0.431	0.098
GPR125	0.229	0.608	0.164
GTF2E2	0.217	0.6	0.096
HMGB3	0.554	0.063	0.065
OGFOD2	0.062	0.545	0.638
PACSIN3	0.548	0.061	0.428
PER3	0.079	0.264	0.058
PRPF38B	0.383	0.14	0.149
TRIM38	0.179	0.001	0.035
TSSC4	0.022	0.214	0.261
WWP1	0.59	0.338	0.332
ZNF3	0.313	0.2	0.009
ZNRF1	0.604	0.367	0.283
BTBD7	0.379	0.302	0.295
C1orf107	0.434	0.292	0.274
CAPRIN2	0.251	0.851	0.131
CHORDC1	0.315	0.588	0.091
CLIC5	0.653	0.054	0.282
GTF3C5	0.394	0.168	0.128
KRTCAP3	0.271	0.454	0.062
MKL1	0.083	0.408	0.049
MPHOSPH8	0.074	0.582	0.099
MRE11A	0.431	0.101	0.593
POLL	0.314	0.348	0.049
PRKRA	0.382	0.571	0.811
PRMT7	0.158	0.458	0.026
SPTY2D1	0.258	0.393	0.061
TGIF1	0.515	0.287	0.333
ZC3H7A	0.312	0.431	0.372
EPS15L1	0.042	0.194	0.1
INSR	0.034	0.273	0.211
ITPRIP	0.015	0.067	0.025
METTL9	0.442	0.284	0.723
MST1R	0.203	0.403	0.1
NAIF1	0.062	0.316	0.071
PRKAA1	0.398	0.197	0.338
RASIP1	0.054	0.181	0.051
SLC9A1	0.015	0.16	0.058
STX4	0.527	0.3	0.6
SUZ12	0.478	0.013	0.4
SYNRG	0.431	0.018	0.051
ABCA1	0.421	0.308	0.038
ABHD16A	0.887	0.007	0.495
BECN1	0.389	0.084	0.17
CCDC109A	0.167	0.55	0.066
CDC20	0.667	0.087	0.034
EMG1	0.169	0.648	0.135
FUBP3	0.435	0.031	0.045
GGCT	0.071	0.001	0.107
GLS	0.141	0.46	0.008
KIF20B	0.285	0.037	0.136
LOC284232	0.132	0.102	0.105
LTBP4	0.072	0.126	0.265
LUZP1	0.163	0.669	0.356
MST1	0.023	0.1	0.528
OTUD7B	0.41	0.488	0.199
PLAGL2	0.282	0.448	0.105
PPHLN1	0.425	0.009	0.139
RPUSD1	0.179	0.86	0.661
SELO	0.09	0.662	0.094
TMEM125	0.413	0.579	0.068
YIPF5	0.236	0.12	0.034
ZCCHC14	0.051	0.334	0.375
ZNF710	0.331	0.474	0.258
ALG2	0.467	0.371	0.454
ARMC8	0.394	0.213	0.221
ATMIN	0.32	0.35	0.042
C1orf66	0.024	0.275	0.439
CRY2	0.015	0.111	0.705
EMD	0.313	0.681	0.2
ERAP1	0.158	0.604	0.169
GNRHR2	0.087	0.061	0.356
GSTO1	0.61	0.086	0.184
MSL1	0.424	0.227	0.066
MTF1	0.135	0.128	0.167
PRAF2	0.089	0.349	0.08
SF3B14	0.383	0.804	0.63
TMEM19	0.384	0.438	0.409
TRIM27	0.515	0.021	0.057
VPS13B	0.672	0.032	0.417
ZNF770	0.479	0.003	0.131
ANLN	0.6	0.092	0.492
DHX8	0.303	0.467	0.149
EPHA1	0.651	0.198	0.551
EVC	0.026	0.159	0.006
PVRL1	0.263	0.848	0.331
RBM34	0.346	0.191	0.151
SFXN1	0.267	0.233	0.012
SLC25A28	0.432	0.242	0.042
TSHZ1	0.262	0.703	0.093
USP24	0.393	0.295	0.314
ADCY7	0.674	0.195	0.094
ALS2CL	0.105	0.407	0.012
ARMCX2	0.433	0.379	0.431
CTSS	0.259	0.051	0.019
FAM134C	0.391	0.095	0.128
GLIPR2	0.51	0.1	0.005
LOC100294362	0.218	0.096	0.015
LPIN1	0.18	0.675	0.092
PDK2	0.034	0.262	0.076
PPP2R1B	0.253	0.247	0.051
SDF2	0.28	0.298	0.029
SH3GLB1	0.359	0.254	0.061
TBC1D2	0.62	0.209	0.203
TMEM48	0.516	0.007	0.029
UAP1	0.363	0.586	0.197
UBE2D4	0.048	0.088	0.299
ZCCHC3	0.31	0.611	0.027
ATP13A2	0.142	0.877	0.272
CAPN10	0.148	0.615	0.292
CD200	0.148	0.351	0.154
DUSP2	0.164	0.536	0.256
E4F1	0.241	0.6	0.036
EPS8	0.097	0.437	0.066
KIAA1370	0.275	0.905	0.438
MOSC1	0.257	0.65	0.075
NCS1	0.564	0.072	0.031
NUDT16L1	0.041	0.316	0.315
OSBPL8	0.789	0.458	0.75
POSTN	0.848	0.798	0.804
TMEM104	0.09	0.597	0.4
USP6NL	0.31	0.627	0.076
WDR70	0.205	0.986	0.849
AASDHPPT	0.273	0.845	0.623
ALS2	0.378	0.637	0.538
APOL3	0.063	0.036	0.17
ARHGAP17	0.245	0.252	0.064
ATP6V1C1	0.491	0.001	0.004
CCDC50	0.224	0.5	0.162
CHSY1	0.063	0.4	0.612
COL4A3BP	0.172	0.81	0.221
CTDSPL2	0.384	0.149	0.175
ESRG	0.097	0.078	0.782
FAM108A1	0.052	0.466	0.314
FERMT1	0.112	0.208	0.146
FXR2	0.15	0.501	0.216
LOC100335030:SPATS2	0.605	0.885	0.596
MIR634:PRKCA	0.171	0.706	0.203
PPP5C	0.45	0.085	0.055
QTRTD1	0.431	0.006	0.018
RALGDS	0.298	0.486	0.149
SPTLC1	0.505	0.193	0.282
TXNDC17	0.494	0.224	0.059
VANGL2	0.321	0.473	0.179
WIBG	0.428	0.328	0.223
ZBTB7A	0.193	0.411	0.019
ZNF561	0.199	0.401	0.017
C10orf140	0.091	0.296	0.074
CASP7	0.546	0.211	0.425
EPB41L4A	0.222	0.918	0.425
GLTSCR1	0.189	0.882	0.602
HSBP1	0.407	0.151	0.038
KIAA1826	0.318	0.314	0.238
MIR1909:REXO1	0.045	0.472	0.544
NOTCH1	0.091	0.481	0.227
PCID2	0.092	0.398	0.694
PIK3C3	0.515	0.097	0.155
PIK3CB	0.483	0.051	0.118
PLEKHA6	0.693	0.105	0.043
PNMA3	0.203	0.464	0.611
PRUNE2	0.279	0.133	0.219
RFC2	0.257	0.375	0.007
SPG20	0.136	0.544	0.359
TC2N	0.605	0.056	0.291
TCEB1	0.53	0.085	0.258
TRAM2	0.365	0.261	0.065
ZNF445	0.137	0.098	0.07
ZNF777	0.391	0.254	0.023
ARHGEF1	0.299	0.632	0.248
CAMTA1	0.269	0.238	0.01
FUNDC2	0.396	0.261	0.016
GJB3	0.249	0.659	0.223
IFNAR2	0.572	0.244	0.222
LOC90784	0.172	0.397	0.081
MED16	0.064	0.489	0.353
MED17	0.4	0.446	0.135
MIIP	0.063	0.289	0.002
NPIP	0.07	0.216	0.138
NT5DC3	0.259	0.331	0.095
NUS1	0.668	0.625	0.264
POLR2H	0.446	0.154	0.427
SEPT10	0.278	0.903	0.31
TCHP	0.296	0.469	0.475
TCTN2	0.137	0.309	0.048
TOB1	0.107	0.649	0.269
VPS33A	0.226	0.192	0.014
EIF4E2	0.378	0.096	0.028
ESPNL	0.101	0.392	0.205
FAM168A	0.179	0.613	0.155
FBXO32	0.323	0.158	0.051
MYEOV2	0.444	0.42	0.444
PIK3IP1	0.64	0.045	0.006
SAMM50	0.388	0.06	0.055
SBDS	0.144	0.661	0.242
TIAM1	0.457	0.007	0.058
ZDHHC23	0.378	0.449	0.765
ZNF608	0.049	0.225	0.246
ADSL	0.154	0.706	0.07
BROX	0.402	0.329	0.827
C11orf57	0.32	0.38	0.372
C1orf128	0.101	0.546	0.07
CLASP2	0.191	0.609	0.128
CNOT7	0.311	0.509	0.116
CXCL17	0.2	0.121	0.033
DGAT1	0.61	0.055	0.078
ELF4	0.387	0.051	0.185
LLPH	0.426	0.315	0.009
LYPD6	0.116	0.26	0.414
MIR140:WWP2	0.52	0.15	0.137
MYCL1	0.688	0.137	0.437
NSF:NSFP1	0.497	0.07	0.833
PHF14	0.363	0.539	0.629
PUS7	0.449	0.051	0.019
PWWP2B	0.143	0.75	0.004
RIC8B	0.499	0.235	0.366
TCEA3	0.177	0.659	0.054
TGS1	0.335	0.462	0.355
TMX4	0.613	0.339	0.436
TUBA4A	0.021	0.27	0.094
ADCK2	0.687	0.037	0.459
APLP1	0.034	0.096	0.074
C17orf81	0.209	0.365	0.046
CD3EAP	0.006	0.026	0.492
CHCHD7	0.436	0.063	0.314
CNKSR1	0.094	0.435	0.611
DHPS	0.086	0.335	0.011
FABP5	0.49	0.497	0.101
FHOD1	0.064	0.314	0.248
GCDH	0.228	0.846	0.611
GK5	0.213	0.049	0.021
MAST2	0.39	0.519	0.082
MIF4GD	0.256	0.132	0.017
MRPL30	0.428	0.072	0.28
ODZ3	0.486	0.523	0.461
SAP30L	0.403	0.448	0.484
TMEM165	0.065	0.001	0.032
ARMC1	0.565	0.047	0.067
C9orf91	0.2	0.499	0.269
FKTN	0.362	0.173	0.023
KIAA1199	0.334	0.801	0.005
LOC100128881	0.152	0.665	0.045
MBOAT1	0.073	0.001	0.002
NDRG4	0.053	0.185	0.062
PHF3	0.475	0.108	0.355
PMVK	0.137	0.69	0.023
PRPSAP1	0.404	0.201	0.327
SMU1	0.415	0.095	0.137
SPCS3	0.304	0.008	0.021
TAF2	0.697	0.041	0.42
TMEM85	0.659	0.002	0.313
TNFAIP1	0.27	0.268	0.011
TOMM22	0.378	0.018	0.044
UXS1	0.303	0.507	0.446
WDFY3	0.493	0.057	0.215
C17orf101	0.201	0.581	0.115
EXPH5	0.101	0.201	0.037
KLRAQ1	0.077	0.413	0.228
MIR340:RNF130	0.249	0.786	0.218
PPIL4	0.366	0.27	0.273
SFN	0.558	0.84	0.51
SNX18	0.228	0.636	0.013
SPOP	0.429	0.345	0.264
TNFRSF12A	0.175	0.906	0.364
WDR37	0.458	0.531	0.152
ZWILCH	0.436	0.037	0.003
ACAA1	0.437	0.2	0.146
BCL2L14*	0.545	0.926	0.605
LRRC41	0.369	0.321	0.023
MIR3656:TRAPPC4	0.354	0.361	0.258
NFS1	0.01	0.033	0.007
PCGF3	0.408	0.11	0.066
PODXL2	0.225	0.765	0.139
PWWP2A	0.035	0.129	0.006
RTP4	0.178	0.029	0.394
TINF2	0.293	0.281	0.008
TMOD1	0.624	0.84	0.345
TRPM2	0.526	0.821	0.772
TTC15	0.049	0.398	0.119
TUBGCP6	0.143	0.743	0.16
URB2	0.192	0.704	0.134
ZC3H3	0.778	0.09	0.068
BCL7C	0.087	0.501	0.061
C12orf65	0.078	0.226	0.176
C21orf58	0.017	0.065	0.002
CDCA4	0.217	0.368	0.046
CDK2AP2	0.141	0.505	0.009
COL16A1	0.001	0.011	0.319
DAXX	0.475	0.049	0.229
DNAJB2	0.083	0.492	0.089
EPS15	0.361	0.487	0.238
FAM98A	0.282	0.072	0.029
FOXO3	0.444	0.056	0.169
GPR173	0.188	0.601	0.098
HES4	0.414	0.807	0.284
MTX2	0.769	0.003	0.717
SCAND1	0.04	0.314	0.114
SLC6A8	0.285	0.734	0.208
UBA6	0.306	0.015	0.363
ZBTB17	0.019	0.235	0.088
AGPS	0.776	0.047	0.056
AGTRAP	0.3	0.441	0.119
ASCC1	0.408	0.274	0.253
CLCN3	0.343	0.591	0.627
CRELD1	0.103	0.216	0.033
CXCR7	0.124	0.242	0.015
GNPDA1	0.284	0.586	0.153
KIAA1324L	0.17	0.207	0.529
NDUFB3	0.455	0.009	0.049
NHP2L1	0.217	0.38	0.047
PRIMA1	0.711	0.406	0.315
RPL7L1	0.439	0.004	0.202
SFXN2	0.314	0.545	0.318
SIX4	0.182	0.11	0.022
STRA13	0.357	0.099	0.018
SYNJ2	0.538	0.221	0.071
TFAM	0.412	0.208	0.345
TSC22D2	0.276	0.448	0.054
ABHD14B	0.347	0.668	0.169
ATP11C	0.58	0.435	0.029
BZW2	0.503	0.146	0.016
C1orf85	0.083	0.277	0.08
COQ4	0.281	0.617	0.206
CRK	0.432	0.004	0.049
CXorf38	0.244	0.016	0.008
DEPTOR	0.319	0.04	0.548
EPC1	0.35	0.477	0.667
FBXO38	0.244	0.414	0.195
FBXW8	0.227	0.224	0.029
FNDC3A	0.097	0.426	0.048
GABARAPL2	0.549	0.232	0.199
GBA	0.121	0.575	0.123
HPS1	0.163	0.622	0.051
MAP4K3	0.176	0.775	0.433
MBP	0.058	0.171	0.043
MRPS15	0.668	0.028	0.327
NIN	0.818	0.017	0.812
PAF1	0.549	0.35	0.118
RAI2	0.643	0.136	0.012
RANBP10	0.213	0.612	0.164
SLC39A13	0.014	0.194	0.017
ST7:ST7OT3:ST7OT4	0.423	0.609	0.539
TTC7A	0.041	0.57	0.365
UNKL	0.013	0.05	0.054
ZCRB1	0.543	0.006	0.101
ATG16L1:SCARNA5:SCARNA6	0.391	0.044	0.032
CALCOCO2	0.322	0.364	0.171
CENPN	0.42	0.143	0.282
CXXC1	0.269	0.561	0.158
DPCD:MIR3158-1	0.064	0.29	0.013
DRAM1	0.829	0.173	0.355
EBNA1BP2	0.564	0.012	0.01
GJA1	0.622	0.383	0.143
GTF2IRD1	0.196	0.684	0.22
HPN	0.633	0.39	0.637
HSD17B4	0.595	0.092	0.044
LDOC1L	0.441	0.335	0.056
RC3H1	0.434	0.009	0.191
RIT1	0.217	0.467	0.13
RNASEK	0.447	0.18	0.1
TMEM39A	0.336	0.372	0.192
ARHGEF37	0.192	0.914	0.711
B3GALT6	0.361	0.374	0.297
BOC	0.054	0.334	0.162
C12orf10	0.153	0.346	0.001
CD2AP	0.569	0.001	0.11
CHUK	0.36	0.162	0.069
CISD3	0.151	0.283	0.098
CRTC3	0.366	0.32	0.13
CYB5R1	0.203	0.607	0.133
DNMBP	0.11	0.531	0.464
DPM1	0.623	0.012	0.271
DUSP5	0.437	0.714	0.144
ESF1	0.561	0.183	0.223
FCGRT	0.142	0.591	0.68
GGPS1	0.108	0.083	0.032
GRPEL2	0.429	0.36	0.179
IFT140	0.032	0.109	0.018
KATNAL2	0.635	0.66	0.024
LYN	0.332	0.033	0.249
MEA1	0.535	0.06	0.393
MED13	0.298	0.517	0.103
METTL11A	0.074	0.673	0.285
MIR301A:MIR454:SKA2	0.552	0.074	0.459
MIR942:TTF2	0.431	0.078	0.126
MRTO4	0.236	0.369	0.092
PDHX	0.488	0.037	0.063
PKMYT1	0.169	0.53	0.085
POMGNT1	0.303	0.663	0.304
RABEP2	0.329	0.399	0.584
RPS6KC1	0.41	0.285	0.242
TAB3	0.374	0.301	0.073
THYN1	0.29	0.478	0.012
TRIM21	0.248	0.096	0.027
TUBB3	0.092	0.507	0.716
UBR2	0.606	0.002	0.699
VPS72	0.292	0.461	0.058
ZDHHC6	0.568	0.029	0.084
ZNF140	0.395	0.392	0.652
ALG8	0.437	0.263	0.24
ANKH	0.39	0.373	0.012
ARHGAP11A	0.449	0.005	0.032
AXIN2	0.377	0.336	0.006
BRP44	0.461	0.163	0.218
C16orf62	0.143	0.61	0.486
C21orf59	0.43	0.169	0.056
DGUOK	0.286	0.422	0.087
EDEM2	0.112	0.402	0.349
HTRA2	0.394	0.516	0.398
KIAA0355	0.008	0.064	0.019
LEMD2	0.558	0.002	0.223
NOM1	0.429	0.007	0.028
NUCB2	0.814	0.243	0.591
NUDT3	0.648	0.001	0.034
POLR1E	0.216	0.827	0.25
PPP4R1	0.511	0.168	0.001
PRKAR1B	0.128	0.802	0.276
RAB18	0.626	0.033	0.5
RAB4A:SPHAR	0.437	0.089	0.166
RELN	0.79	0.741	0.125
RIMS4	0.058	0.135	0.436
SCCPDH	0.267	0.918	0.279
SNTB1	0.113	0.009	0.16
TLK2	0.405	0.22	0.049
TNNT2	0.883	0.981	0.656
TPRN	0.172	0.64	0.018
TRPV4	0.244	0.501	0.741
USP35	0.382	0.151	0.012
ZNF652	0.397	0.259	0.333
C14orf119	0.23	0.55	0.063
C21orf70	0.441	0.544	0.991
CCDC102A	0.043	0.313	0.366
COG8:PDF	0.264	0.152	0.09
DCXR	0.188	0.92	0.48
DTX2	0.033	0.099	0.127
ERLIN2	0.18	0.765	0.43
FRAS1	0.627	0.195	0.681
GNPNAT1	0.247	0.003	0.019
IL10RB	0.233	0.598	0.109
MR1	0.15	0.326	0.026
MRI1	0.109	0.796	0.233
PAXIP1	0.591	0.053	0.491
PVR	0.145	0.371	0.026
REEP5	0.695	0.183	0.083
SLC29A1	0.532	0.691	0.128
SLC39A4	0.754	0.113	0.423
SNTB2	0.268	0.07	0.075
TGM1	0.417	0.638	0.41
TRA2A	0.141	0.862	0.484
ZDHHC20	0.378	0.124	0.038
BCKDHA	0.329	0.173	0.039
C3orf37	0.446	0.092	0.437
CSTF3	0.712	0.253	0.499
